wallet,tx_count,wallet_age_days,avg_tx_value,unique_interactions,score
0x49d744DBF87E744c7D6A343dba18fcd216F3EA26,6,0.19944444444444445,1.25e+16,3,20
0x111de4036Bd03449bBEdC5fb4Aa8f88f16C8158d,1,0.0,2.5e+16,1,20
